Equipo;Competencia;Internacional;Oficial;Rival;Minuto;Fecha;Ciudad;Pais;Condición;Resultado Final;
River Plate;Amistoso;No;No;Jorge Newbery;18;25/05/1937;Rufino;Argentina;Visitante;8-0;
River Plate;Amistoso;No;No;Jorge Newbery;72;25/05/1937;Rufino;Argentina;Visitante;8-0;
River Plate;Amistoso;No;No;Jorge Newbery;76;25/05/1937;Rufino;Argentina;Visitante;8-0;
River Plate;Torneo Internacional Nocturno 1938;Si;No;Newells;;22/01/1938;Rosario;Argentina;Visitante;1-5;
River Plate;Primera División AFA;No;Si;Atlanta;;15/10/1939;Buenos Aires;Argentina;Visitante;4-2;
River Plate;Primera División AFA;No;Si;Newells;;29/10/1939;Rosario;Argentina;Visitante;1-1;
River Plate;Primera División AFA;No;Si;Platense;;01/11/1939;Buenos Aires;Argentina;Local;3-2;
River Plate;Primera División AFA;No;Si;Platense;;01/11/1939;Buenos Aires;Argentina;Local;3-2;
River Plate;Primera División AFA;No;Si;Boca;;05/11/1939;Buenos Aires;Argentina;Visitante;2-1;
River Plate;Primera División AFA;No;Si;Lanús;;26/11/1939;Buenos Aires;Argentina;Local;5-2;
River Plate;Primera División AFA;No;Si;Vélez;;03/12/1939;Buenos Aires;Argentina;Visitante;4-0;
River Plate;Amistoso;No;No;Boca;84;20/01/1940;Buenos Aires;Argentina;Neutral;2-3;
River Plate;Amistoso;No;No;Estudiantes;;21/03/1940;Buenos Aires;Argentina;Local;5-0;
River Plate;Amistoso;No;No;Boca;19;24/03/1940;Buenos Aires;Argentina;Neutral;2-1;
River Plate;Amistoso;No;No;Belgrano de Córdoba;;01/05/1940;Córdoba;Argentina;Visitante;4-4;
River Plate;Primera División AFA;No;Si;Banfield;;07/07/1940;Buenos Aires;Argentina;Local;6-0;
River Plate;Primera División AFA;No;Si;Chacarita;;21/07/1940;Buenos Aires;Argentina;Local;4-1;
River Plate;Primera División AFA;No;Si;Chacarita;;21/07/1940;Buenos Aires;Argentina;Local;4-1;
River Plate;Primera División AFA;No;Si;Atlanta;;28/07/1940;Buenos Aires;Argentina;Visitante;4-1;
River Plate;Primera División AFA;No;Si;Racing;;25/08/1940;Buenos Aires;Argentina;Local;5-1;
River Plate;Primera División AFA;No;Si;Racing;;25/08/1940;Buenos Aires;Argentina;Local;5-1;
River Plate;Primera División AFA;No;Si;Gimnasia La Plata;;01/09/1940;La Plata;Argentina;Visitante;2-0;
River Plate;Primera División AFA;No;Si;Vélez;;20/10/1940;Buenos Aires;Argentina;Local;4-0;
River Plate;Primera División AFA;No;Si;Ferro;;09/11/1940;Buenos Aires;Argentina;Visitante;4-1;
River Plate;Primera División AFA;No;Si;Ferro;;09/11/1940;Buenos Aires;Argentina;Visitante;4-1;
River Plate;Primera División AFA;No;Si;Boca;7;17/11/1940;Buenos Aires;Argentina;Local;1-1;
River Plate;Primera División AFA;No;Si;Lanús;;01/12/1940;Buenos Aires;Argentina;Local;7-1;
River Plate;Primera División AFA;No;Si;Chacarita;;08/12/1940;Buenos Aires;Argentina;Visitante;7-0;
River Plate;Primera División AFA;No;Si;Atlanta;;15/12/1940;Buenos Aires;Argentina;Local;7-1;
River Plate;Amistoso;No;No;Newells;;11/01/1941;Rosario;Argentina;Visitante;2-3;
River Plate;Copa Myrurgia;Si;No;Nacional de Montevideo;;19/01/1941;Montevideo;Uruguay;Visitante;4-3;
River Plate;Copa Myrurgia;Si;No;Nacional de Montevideo;;19/01/1941;Montevideo;Uruguay;Visitante;4-3;
River Plate;Copa Myrurgia;Si;No;Nacional de Montevideo;;19/01/1941;Montevideo;Uruguay;Visitante;4-3;
River Plate;Amistoso;No;No;Excursionistas;;26/01/1941;Buenos Aires;Argentina;Neutral;4-0;
River Plate;Amistoso;No;No;Excursionistas;;02/02/1941;Buenos Aires;Argentina;Neutral;3-3;
River Plate;Amistoso;No;No;Racing;;09/02/1941;Buenos Aires;Argentina;Neutral;6-5;
River Plate;Amistoso;No;No;Racing;;09/02/1941;Buenos Aires;Argentina;Neutral;6-5;
River Plate;Amistoso;No;No;Racing;;09/02/1941;Buenos Aires;Argentina;Neutral;6-5;
River Plate;Amistoso;No;No;Quilmes de Mar del Plata;;02/03/1941;Mar del Plata;Argentina;Visitante;8-1;
River Plate;Amistoso;No;No;Racing;;16/03/1941;Buenos Aires;Argentina;Neutral;2-4;
River Plate;Primera División AFA;No;Si;Gimnasia La Plata;;11/04/1941;La Plata;Argentina;Visitante;3-0;
River Plate;Primera División AFA;No;Si;Ferro;;18/05/1941;Buenos Aires;Argentina;Local;4-0;
River Plate;Primera División AFA;No;Si;Rosario Central;;25/05/1941;Rosario;Argentina;Visitante;5-3;
River Plate;Primera División AFA;No;Si;Rosario Central;;25/05/1941;Rosario;Argentina;Visitante;5-3;
River Plate;Primera División AFA;No;Si;Lanús;;08/06/1941;Buenos Aires;Argentina;Visitante;4-2;
River Plate;Primera División AFA;No;Si;Racing;;03/08/1941;Buenos Aires;Argentina;Local;2-0;
River Plate;Primera División AFA;No;Si;Banfield;;10/08/1941;Banfield;Argentina;Visitante;4-2;
River Plate;Primera División AFA;No;Si;Rosario Central;;14/09/1941;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Lanús;;26/09/1941;Buenos Aires;Argentina;Local;4-0;
River Plate;Primera División AFA;No;Si;Boca;11;19/10/1941;Buenos Aires;Argentina;Local;5-1;
River Plate;Primera División AFA;No;Si;Estudiantes;;26/10/1941;Buenos Aires;Argentina;Visitante;3-1;
River Plate;Copa Adrián Escobar;No;Si;San Lorenzo;;02/11/1941;Buenos Aires;Argentina;Neutral;2-1;
River Plate;Copa Adrián Escobar;No;Si;San Lorenzo;;02/11/1941;Buenos Aires;Argentina;Neutral;2-1;
River Plate;Amistoso;No;No;Santiago Wanderers;;21/12/1941;Santiago;Chile;Visitante;5-2;
River Plate;Amistoso;No;No;Santiago Wanderers;;21/12/1941;Santiago;Chile;Visitante;5-2;
River Plate;Amistoso;No;No;Racing;;21/01/1942;Buenos Aires;Argentina;Neutral;6-1;
River Plate;Amistoso;No;No;Racing;;21/01/1942;Buenos Aires;Argentina;Neutral;6-1;
River Plate;Amistoso;No;No;Racing;;04/02/1942;Buenos Aires;Argentina;Neutral;4-0;
River Plate;Amistoso;No;No;Racing;;04/02/1942;Buenos Aires;Argentina;Neutral;4-0;
River Plate;Amistoso;No;No;Platense;;15/03/1942;Buenos Aires;Argentina;Neutral;3-0;
River Plate;Amistoso;No;No;Platense;;15/03/1942;Buenos Aires;Argentina;Neutral;3-0;
River Plate;Copa Ibarguren;No;Si;Newells;16;22/03/1942;Buenos Aires;Argentina;Neutral;3-0;
River Plate;Copa Aldao;Si;Si;Nacional de Montevideo;;29/03/1942;Buenos Aires;Argentina;Local;6-1;
River Plate;Copa Aldao;Si;Si;Nacional de Montevideo;;29/03/1942;Buenos Aires;Argentina;Local;6-1;
River Plate;Copa Aldao;Si;Si;Nacional de Montevideo;;29/03/1942;Buenos Aires;Argentina;Local;6-1;
River Plate;Primera División AFA;No;Si;Lanús;;18/04/1942;Buenos Aires;Argentina;Local;5-0;
River Plate;Primera División AFA;No;Si;Gimnasia y Esgrima ;;03/05/1942;La Plata;Argentina;Visitante;2-2;
River Plate;Primera División AFA;No;Si;San Lorenzo;;17/05/1942;Buenos Aires;Argentina;Visitante;2-1;
River Plate;Primera División AFA;No;Si;Chacarita;;07/06/1942;Buenos Aires;Argentina;Visitante;6-2;
River Plate;Primera División AFA;No;Si;Chacarita;;07/06/1942;Buenos Aires;Argentina;Visitante;6-2;
River Plate;Primera División AFA;No;Si;Banfield;;21/06/1942;Banfield;Argentina;Visitante;4-0;
River Plate;Primera División AFA;No;Si;Banfield;;21/06/1942;Banfield;Argentina;Visitante;4-0;
River Plate;Primera División AFA;No;Si;Estudiantes;;05/07/1942;La Plata;Argentina;Visitante;4-0;
River Plate;Primera División AFA;No;Si;Boca;46;19/07/1942;Buenos Aires;Argentina;Local;4-0;
River Plate;Primera División AFA;No;Si;Boca;71;19/07/1942;Buenos Aires;Argentina;Local;4-0;
River Plate;Primera División AFA;No;Si;Gimnasia y Esgrima ;;06/09/1942;Buenos Aires;Argentina;Local;4-4;
River Plate;Primera División AFA;No;Si;San Lorenzo;;20/09/1942;Buenos Aires;Argentina;Local;1-1;
River Plate;Primera División AFA;No;Si;Banfield;;18/10/1942;Buenos Aires;Argentina;Local;5-2;
River Plate;Primera División AFA;No;Si;Platense;;25/10/1942;Buenos Aires;Argentina;Visitante;3-2;
River Plate;Primera División AFA;No;Si;Estudiantes;;01/11/1942;Buenos Aires;Argentina;Local;3-1;
River Plate;Copa Aldao;Si;Si;Nacional de Montevideo;;05/12/1942;Montevideo;Uruguay;Visitante;1-1;
River Plate;Copa Ibarguren;No;Si;Liga Cordobesa;73;04/04/1943;Buenos Aires;Argentina;Local;7-0;
River Plate;Primera División AFA;No;Si;Huracán;;18/04/1943;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Huracán;;18/04/1943;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Boca;;16/05/1943;Buenos Aires;Argentina;Local;3-1;
River Plate;Primera División AFA;No;Si;Boca;;16/05/1943;Buenos Aires;Argentina;Local;3-1;
River Plate;Amistoso;Si;No;Peñarol;;25/05/1943;Buenos Aires;Argentina;Local;3-2;
River Plate;Amistoso;Si;No;Peñarol;;25/05/1943;Buenos Aires;Argentina;Local;3-2;
River Plate;Primera División AFA;No;Si;Gimnasia La Plata;;06/06/1943;La Plata;Argentina;Visitante;3-2;
River Plate;Primera División AFA;No;Si;Ferro;;13/06/1943;Buenos Aires;Argentina;Local;3-1;
River Plate;Primera División AFA;No;Si;San Lorenzo;;01/08/1943;Buenos Aires;Argentina;Local;5-2;
River Plate;Primera División AFA;No;Si;Banfield;;08/08/1943;Buenos Aires;Argentina;Local;6-2;
River Plate;Primera División AFA;No;Si;Banfield;;08/08/1943;Buenos Aires;Argentina;Local;6-2;
River Plate;Primera División AFA;No;Si;Banfield;;08/08/1943;Buenos Aires;Argentina;Local;6-2;
River Plate;Primera División AFA;No;Si;Huracán;;22/08/1943;Buenos Aires;Argentina;Visitante;3-0;
River Plate;Primera División AFA;No;Si;Huracán;;22/08/1943;Buenos Aires;Argentina;Visitante;3-0;
River Plate;Primera División AFA;No;Si;Independiente  ;;29/08/1943;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Newells;;05/09/1943;Rosario;Argentina;Visitante;2-2;
River Plate;Primera División AFA;No;Si;Gimnasia La Plata;;17/10/1943;Buenos Aires;Argentina;Local;3-1;
River Plate;Primera División AFA;No;Si;Gimnasia La Plata;;17/10/1943;Buenos Aires;Argentina;Local;3-1;
River Plate;Primera División AFA;No;Si;Racing;;31/10/1943;Buenos Aires;Argentina;Local;5-0;
River Plate;Primera División AFA;No;Si;Racing;;31/10/1943;Buenos Aires;Argentina;Local;5-0;
River Plate;Primera División AFA;No;Si;Racing;;31/10/1943;Buenos Aires;Argentina;Local;5-0;
River Plate;Primera División AFA;No;Si;Rosario Central;;07/11/1943;Rosario;Argentina;Visitante;1-1;
River Plate;Primera División AFA;No;Si;Chacarita;;14/11/1943;Buenos Aires;Argentina;Local;3-0;
River Plate;Primera División AFA;No;Si;Banfield;;28/11/1943;Banfield;Argentina;Visitante;6-1;
River Plate;Primera División AFA;No;Si;Estudiantes;;05/12/1943;Buenos Aires;Argentina;Local;3-1;
River Plate;Amistoso;No;No;Gimnasia y Esgrima Mendoza;;18/12/1943;Mendoza;Argentina;Visitante;3-3;
River Plate;Amistoso;No;No;Combinado Mendoza;;19/12/1943;Mendoza;Argentina;Visitante;7-1;
River Plate;Amistoso;No;No;Combinado Mendoza;;19/12/1943;Mendoza;Argentina;Visitante;7-1;
River Plate;Amistoso;No;No;Selec. de Bahía Blanca;;06/01/1944;Bahía Blanca;Argentina;Visitante;5-0;
River Plate;Amistoso;No;No;Selec. de Bahía Blanca;;06/01/1944;Bahía Blanca;Argentina;Visitante;5-0;
River Plate;Amistoso;No;No;Selec. de Bahía Blanca;;08/01/1944;Bahía Blanca;Argentina;Visitante;5-1;
River Plate;Amistoso;No;No;Selec. de Bahía Blanca;;08/01/1944;Bahía Blanca;Argentina;Visitante;5-1;
